initial_demo_id,union_success,positive_only_success,risk_fusion_success,union_minus_positive_only,union_minus_risk_fusion
demo_105,1.000,0.000,,1.000,
demo_189,0.600,0.600,,0.000,
demo_29,1.000,1.000,,0.000,
demo_39,1.000,0.000,,1.000,
demo_45,0.400,0.400,,0.000,
demo_5,0.600,1.000,,-0.400,
demo_53,1.000,1.000,,0.000,
demo_81,1.000,1.000,,0.000,
demo_89,1.000,0.600,,0.400,
demo_99,0.200,0.000,,0.200,
