split,episode,initial_demo_id,positive_success,cau_success,oracle_success,positive_top_prob,positive_entropy,positive_logit_gap,positive_top_scale_mean,positive_support_margin,positive_support_pos_dist,positive_support_neg_dist,cau_top_prob,cau_entropy,cau_logit_gap,cau_top_scale_mean,cau_support_margin,cau_support_pos_dist,cau_support_neg_dist,cau_minus_positive_top_prob,cau_minus_positive_entropy,cau_minus_positive_logit_gap,cau_minus_positive_support_margin,positive_cau_action_l2,positive_logp_self,positive_logp_under_cau,positive_logp_margin_vs_cau,cau_logp_self,cau_logp_under_positive,cau_logp_margin_vs_positive
909,10,demo_5,1,0,1,0.910124,0.302251,2.315149,0.097803,0.398664,2.205358,2.604021,0.859871,0.405198,1.814218,0.135869,0.48214,2.171282,2.653422,-0.050253,0.102947,-0.500931,0.083476,0.220216,17.291401,16.09474,1.196661,16.33967,16.752216,-0.412546
909,11,demo_29,0,0,0,0.900912,0.323076,2.207394,0.097133,-0.395574,1.909154,1.51358,0.891636,0.343081,2.107564,0.123974,-0.424457,1.926213,1.501756,-0.009276,0.020005,-0.09983,-0.028883,0.107037,17.273249,16.501785,0.771464,17.036411,16.660673,0.375738
909,12,demo_39,0,0,0,0.894133,0.337786,2.133672,0.094914,-0.080052,2.995168,2.915117,0.837945,0.443062,1.643017,0.149493,-0.061312,3.013849,2.952537,-0.056188,0.105276,-0.490655,0.01874,0.200382,17.251348,15.707332,1.544016,15.878383,16.793276,-0.914893
909,13,demo_45,1,1,1,0.914878,0.291104,2.374709,0.094202,-0.812077,2.088796,1.276719,0.836895,0.444783,1.635306,0.128471,-0.724113,2.065896,1.341783,-0.077983,0.153679,-0.739403,0.087964,0.112248,17.519798,16.462893,1.056905,16.584671,17.317205,-0.732534
909,14,demo_53,1,1,1,0.889557,0.34744,2.086228,0.094204,0.136359,2.372227,2.508587,0.807829,0.489356,1.435964,0.140261,0.072741,2.477912,2.550653,-0.081728,0.141916,-0.650264,-0.063618,0.098651,17.277744,15.895326,1.382418,16.127419,17.099163,-0.971744
909,15,demo_81,1,0,1,0.921776,0.274411,2.466724,0.09377,-0.954121,2.444725,1.490604,0.888436,0.349773,2.074864,0.126239,-0.934623,2.43352,1.498897,-0.03334,0.075362,-0.39186,0.019498,0.098702,17.524445,16.625248,0.899197,16.781412,17.303438,-0.522026
909,16,demo_89,0,0,0,0.885744,0.355323,2.047982,0.092246,0.397032,2.209304,2.606336,0.764279,0.546097,1.176285,0.137222,0.599376,2.047308,2.646684,-0.121465,0.190774,-0.871697,0.202344,0.117629,17.53079,15.578199,1.952591,16.330627,16.973526,-0.642899
909,17,demo_99,1,0,1,0.925406,0.265363,2.518176,0.088023,-1.49033,2.305043,0.814713,0.873249,0.380163,1.929996,0.122017,-1.395917,2.270159,0.874243,-0.052157,0.1148,-0.58818,0.094413,0.102463,17.893373,16.772736,1.120637,17.032675,17.531525,-0.49885
909,18,demo_105,1,1,1,0.918637,0.282086,2.423972,0.090924,-0.668734,1.769994,1.101259,0.839046,0.441249,1.651145,0.125051,-0.567514,1.755159,1.187645,-0.079591,0.159163,-0.772827,0.10122,0.141853,17.698862,16.597387,1.101475,16.809231,17.320604,-0.511373
909,19,demo_189,1,0,1,0.9055,0.312828,2.259883,0.095597,0.275421,1.938788,2.214209,0.815105,0.478736,1.483527,0.127575,0.404031,1.882621,2.286652,-0.090395,0.165908,-0.776356,0.12861,0.243679,17.444321,16.226442,1.217879,16.649111,16.668062,-0.018951
